Start_Lat,Start_Lng,Distance(mi),Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Severity
39.865147,-84.058723,0.01,36.9,91.0,29.68,10.0,,3
39.92805900000001,-82.831184,0.01,37.9,100.0,29.65,10.0,,2
39.063148,-84.032608,0.01,36.0,100.0,29.67,10.0,3.5,2
39.747753,-84.20558199999998,0.01,35.1,96.0,29.64,9.0,4.6,3
39.627781,-84.188354,0.01,36.0,89.0,29.65,6.0,3.5,2
40.10059,-82.92519399999998,0.01,37.9,97.0,29.63,7.0,3.5,3
39.758274,-84.23050699999997,0.0,34.0,100.0,29.66,7.0,3.5,2
39.770382,-84.194901,0.01,34.0,100.0,29.66,7.0,3.5,3
39.778061,-84.172005,0.0,33.3,99.0,29.67,5.0,1.2,2
40.10059,-82.92519399999998,0.01,37.4,100.0,29.62,3.0,4.6,3
39.952812,-83.119293,0.01,35.6,93.0,29.64,5.0,5.8,3
39.932709,-82.83091,0.01,37.4,100.0,29.62,3.0,4.6,3
39.737633,-84.14993299999998,0.0,33.8,100.0,29.63,3.0,2.3,2
39.79076,-84.241547,0.01,36.0,89.0,29.65,10.0,5.8,2
39.972038,-82.913521,0.01,37.4,100.0,29.62,3.0,4.6,2
39.745888,-84.17041,0.01,33.8,100.0,29.63,3.0,2.3,2
39.748329,-84.224007,0.01,35.6,99.0,29.65,7.0,2.3,2
39.752174,-84.239952,0.0,36.0,89.0,29.65,10.0,5.8,2
39.740669,-84.184135,0.01,37.4,93.0,29.63,10.0,6.9,2
39.790703,-84.244461,0.01,36.0,89.0,29.65,10.0,6.9,2
40.052509,-82.88233199999998,0.0,33.8,100.0,29.62,2.0,4.6,2
39.773346,-84.224686,0.0,36.0,89.0,29.65,10.0,6.9,2
39.628288,-84.226151,0.01,35.1,89.0,29.65,6.0,8.1,2
40.023487,-82.994888,0.01,37.0,96.0,29.63,8.0,5.8,3
39.761379,-84.25921600000002,0.01,37.9,76.0,29.62,10.0,10.4,2
40.158024,-82.641762,1.32,37.9,100.0,29.6,5.0,4.6,2
39.733219,-84.159653,0.0,36.0,86.0,29.63,7.0,9.2,2
39.775303,-84.200523,0.0,39.9,70.0,29.61,10.0,11.5,2
39.789322,-84.23910500000002,0.01,39.9,65.0,29.61,10.0,8.1,2
39.75872,-84.183762,0.0,39.2,75.0,29.62,10.0,4.6,2
40.081459,-83.122398,0.01,37.0,89.0,29.61,10.0,6.9,2
39.83321,-84.112946,0.0,34.2,97.0,29.66,10.0,3.5,2
40.042725,-82.99730699999998,0.01,33.8,100.0,29.62,6.0,5.8,3
39.974415,-82.848854,0.01,34.0,100.0,29.65,6.0,,3
39.994766,-83.02449,0.01,33.1,92.0,29.63,7.0,8.1,2
40.006477,-83.030991,1.09,33.1,92.0,29.63,9.0,9.2,2
39.742062,-84.186996,0.01,23.0,93.0,29.65,5.0,11.5,2
39.843521,-82.78157,0.01,23.0,93.0,29.63,2.5,11.5,2
39.782578,-84.178688,0.01,22.8,89.0,29.69,4.0,11.5,2
40.007626,-82.912155,0.01,26.6,86.0,29.62,1.5,8.1,3
39.447502,-84.19120799999997,0.0,21.0,85.0,29.67,0.8,9.2,2
39.787731,-84.173439,0.01,23.0,86.0,29.71,3.0,10.4,2
39.426277,-83.624611,0.01,19.9,89.0,29.75,1.8,13.8,2
39.978306,-82.852554,0.01,25.0,88.0,29.65,1.0,9.2,3
39.84182,-84.18960600000003,0.01,23.0,88.0,29.66,2.0,15.0,3
39.953625,-82.958954,0.01,25.0,88.0,29.65,1.0,9.2,3
40.053082,-83.049644,0.01,26.1,84.0,29.63,2.0,12.7,2
39.936874,-82.878723,0.01,24.8,86.0,29.64,1.0,8.1,3
39.780643,-84.16349,0.01,23.0,86.0,29.68,4.0,11.5,2
39.773193,-84.187454,0.01,23.0,86.0,29.68,4.0,11.5,3
39.77858,-84.20468100000002,0.01,21.9,92.0,29.71,2.0,12.7,2
39.792988,-84.20607,0.01,21.9,92.0,29.71,2.0,12.7,2
39.770382,-84.194901,0.01,21.9,92.0,29.71,2.0,12.7,3
39.976398,-83.119225,0.01,21.2,93.0,29.66,1.5,13.8,3
39.6395,-84.23136099999998,0.01,21.0,85.0,29.69,1.2,9.2,3
39.232578,-84.159286,0.01,21.0,93.0,29.73,2.5,9.2,2
39.746593,-84.23912,0.01,21.9,92.0,29.68,2.0,12.7,2
